iodine
iodin
I
atomic_number_53
one
1
I
ace
single
unity
I
i
one
1
i
ane
king
male_monarch
Rex
king
queen
world-beater
baron
big_businessman
business_leader
king
magnate
mogul
power
top_executive
tycoon
king
King
Billie_Jean_King
Billie_Jean_Moffitt_King
King
B._B._King
Riley_B_King
King
Martin_Luther_King
Martin_Luther_King_Jr.
king
king
king
maestro
master
overlord
master
lord
victor
master
superior
master
headmaster
schoolmaster
master
master
master_copy
original
master
captain
sea_captain
skipper
master
master
professional
passkey
passe-partout
master_key
master
master
get_the_hang
overcome
get_over
subdue
surmount
master
dominate
master
master
control
chief
main
primary
principal
master
angstrom
angstrom_unit
A
vitamin_A
antiophthalmic_factor
axerophthol
A
deoxyadenosine_monophosphate
A
adenine
A
ampere
amp
A
A
a
A
type_A
group_A
abyss
abysm
expiate
aby
abye
atone
again
once_again
once_more
over_again
americium
Am
atomic_number_95
Master_of_Arts
MA
Artium_Magister
AM
amplitude_modulation
AM
be
be
be
exist
be
be
equal
be
constitute
represent
make_up
comprise
be
be
follow
embody
be
personify
be
be
live
be
cost
be
Associate_in_Nursing
AN
are
ar
be
be
be
exist
be
be
equal
be
constitute
represent
make_up
comprise
be
be
follow
embody
be
personify
be
be
live
be
cost
be
about
around
around
about
around
around
approximately
about
close_to
just_about
some
roughly
more_or_less
around
or_so
about
around
around
about
around
around
round
around
astatine
At
atomic_number_85
at
back
dorsum
rear
back
back
rear
back
spinal_column
vertebral_column
spine
backbone
back
rachis
binding
book_binding
cover
back
back
back
backrest
back
back
endorse
indorse
plump_for
plunk_for
support
back
second
back
endorse
indorse
back
back
back
bet_on
back
gage
stake
game
punt
back
back
back_up
back
back
back
hind
hinder
back
back
back
backward
backwards
rearward
rearwards
back
back
backward
back
back
back
backward
backwards
rearward
rearwards
backward
backwards
beryllium
Be
glucinium
atomic_number_4
be
be
be
exist
be
be
equal
be
constitute
represent
make_up
comprise
be
be
follow
embody
be
personify
be
be
live
be
cost
be
being
beingness
existence
organism
being
be
be
be
exist
be
be
equal
be
constitute
represent
make_up
comprise
be
be
follow
embody
be
personify
be
be
live
be
cost
be
below
at_a_lower_place
to_a_lower_place
beneath
below
below
infra
downstairs
down_the_stairs
on_a_lower_floor
below
under
below
below
at_a_lower_place
to_a_lower_place
beneath
black
blackness
inkiness
total_darkness
lightlessness
blackness
pitch_blackness
black
semen
seed
seminal_fluid
ejaculate
cum
come
come
come_up
arrive
get
come
come
come
come
follow
come
issue_forth
come
hail
come
come
come
come
fall
come
come
total
number
add_up
come
amount
come
add_up
amount
come
come_in
occur
come
derive
come
descend
do
fare
make_out
come
get_along
come
come
dark
darkness
darkness
dark
shadow
iniquity
wickedness
darkness
dark
dark
darkness
darkness
darkness
duskiness
swarthiness
debt
debt
debt
devil
fiend
demon
daemon
daimon
monster
fiend
devil
demon
ogre
demon
desirable
desirable
suitable
worthy
devour
devour
devour
down
consume
go_through
devour
guttle
raven
pig
predominate
dominate
rule
reign
prevail
dominate
dominate
master
overshadow
dominate
eclipse
dominate
command
overlook
overtop
predominate
dominate
rule
reign
prevail
dominate
dominate
master
overshadow
dominate
eclipse
dominate
command
overlook
overtop
predominate
dominate
rule
reign
prevail
dominate
dominate
master
overshadow
dominate
eclipse
dominate
command
overlook
overtop
ascendant
ascendent
dominating
commanding
dominating
overlooking
autocratic
bossy
dominating
high-and-mighty
magisterial
peremptory
domination
domination
mastery
supremacy
eat
eat
feed
eat
eat
eat_on
consume
eat_up
use_up
eat
deplete
exhaust
run_through
wipe_out
corrode
eat
rust
body_waste
excretion
excreta
excrement
excretory_product
being
beingness
existence
universe
existence
creation
world
cosmos
macrocosm
exist
be
exist
survive
live
subsist
extreme
extreme_point
extreme
extremum
extreme
utmost
uttermost
extreme
extreme
extreme
failure
failure
failure
failure
loser
nonstarter
unsuccessful_person
failure
bankruptcy
failure
failure
Army_for_the_Liberation_of_Rwanda
ALIR
Former_Armed_Forces
FAR
Interahamwe
far
far
far
far
far
far
far
far
far
banquet
feast
feast
banquet
feast
spread
fete
feast
fiesta
feast
banquet
junket
feast
banquet
junket
feed
feast
feel
spirit
tone
feel
feeling
flavor
flavour
look
smell
tactile_property
feel
feel
feel
experience
find
feel
feel
sense
feel
feel
feel
feel
feel
feel
finger
palpate
feel
feel
feel
feel
